timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/08/03 02:03:16.993, 2542 MHz, 13801 MHz, 73.22 W, 34, 0 %, 2385 MiB
2026/08/03 02:03:21.993, 2895 MHz, 13801 MHz, 108.42 W, 35, 61 %, 2419 MiB
2026/08/03 02:03:26.994, 2895 MHz, 13801 MHz, 108.38 W, 35, 62 %, 2419 MiB
2026/08/03 02:03:31.994, 2895 MHz, 13801 MHz, 109.01 W, 35, 65 %, 2419 MiB
2026/08/03 02:03:36.995, 2895 MHz, 13801 MHz, 91.64 W, 34, 0 %, 1730 MiB
2026/08/03 02:03:41.995, 2572 MHz, 13801 MHz, 76.42 W, 34, 1 %, 2281 MiB
2026/08/03 02:03:46.996, 2542 MHz, 13801 MHz, 72.60 W, 34, 0 %, 2663 MiB
2026/08/03 02:03:51.996, 2557 MHz, 13801 MHz, 74.39 W, 34, 0 %, 2663 MiB
2026/08/03 02:03:56.996, 2542 MHz, 13801 MHz, 73.88 W, 34, 0 %, 2269 MiB
2026/08/03 02:04:01.997, 2542 MHz, 13801 MHz, 75.49 W, 34, 2 %, 2641 MiB
2026/08/03 02:04:06.997, 2550 MHz, 13801 MHz, 73.90 W, 34, 0 %, 2269 MiB
2026/08/03 02:04:11.998, 2542 MHz, 13801 MHz, 73.97 W, 34, 1 %, 2281 MiB
2026/08/03 02:04:16.999, 2542 MHz, 13801 MHz, 74.20 W, 34, 0 %, 2269 MiB
2026/08/03 02:04:22.000, 2550 MHz, 13801 MHz, 75.95 W, 33, 0 %, 2663 MiB
2026/08/03 02:04:27.000, 2550 MHz, 13801 MHz, 72.74 W, 33, 0 %, 2663 MiB
2026/08/03 02:04:32.000, 2542 MHz, 13801 MHz, 72.32 W, 33, 1 %, 2663 MiB
2026/08/03 02:04:37.001, 2565 MHz, 13801 MHz, 72.77 W, 33, 0 %, 2269 MiB
2026/08/03 02:04:42.001, 2542 MHz, 13801 MHz, 70.36 W, 33, 0 %, 2663 MiB
2026/08/03 02:04:47.002, 2542 MHz, 13801 MHz, 72.65 W, 33, 0 %, 2663 MiB
2026/08/03 02:04:52.002, 2550 MHz, 13801 MHz, 71.22 W, 33, 0 %, 2663 MiB
2026/08/03 02:04:57.003, 2595 MHz, 13801 MHz, 74.81 W, 33, 0 %, 2279 MiB
2026/08/03 02:05:02.003, 2542 MHz, 13801 MHz, 72.18 W, 33, 0 %, 2641 MiB
2026/08/03 02:05:07.003, 2565 MHz, 13801 MHz, 72.50 W, 33, 0 %, 2279 MiB
2026/08/03 02:05:12.004, 2542 MHz, 13801 MHz, 72.35 W, 33, 0 %, 2663 MiB
2026/08/03 02:05:17.005, 2557 MHz, 13801 MHz, 74.56 W, 33, 0 %, 2283 MiB
2026/08/03 02:05:22.005, 2550 MHz, 13801 MHz, 69.70 W, 33, 0 %, 2663 MiB
2026/08/03 02:05:27.005, 2542 MHz, 13801 MHz, 69.99 W, 33, 0 %, 2663 MiB
2026/08/03 02:05:32.006, 2542 MHz, 13801 MHz, 72.72 W, 33, 0 %, 1730 MiB
2026/08/03 02:05:37.008, 2580 MHz, 13801 MHz, 73.13 W, 33, 0 %, 2281 MiB
2026/08/03 02:05:42.008, 2542 MHz, 13801 MHz, 71.76 W, 33, 0 %, 2663 MiB
2026/08/03 02:05:47.009, 2565 MHz, 13801 MHz, 71.98 W, 33, 0 %, 2663 MiB
2026/08/03 02:05:52.009, 2542 MHz, 13801 MHz, 72.04 W, 33, 0 %, 2261 MiB
2026/08/03 02:05:57.009, 2542 MHz, 13801 MHz, 73.08 W, 33, 0 %, 2281 MiB
2026/08/03 02:06:02.010, 2542 MHz, 13801 MHz, 72.24 W, 33, 0 %, 2269 MiB
2026/08/03 02:06:07.010, 2572 MHz, 13801 MHz, 75.13 W, 33, 15 %, 2641 MiB
2026/08/03 02:06:12.010, 2572 MHz, 13801 MHz, 73.32 W, 33, 2 %, 2277 MiB
2026/08/03 02:06:17.011, 2550 MHz, 13801 MHz, 70.99 W, 33, 0 %, 2663 MiB
2026/08/03 02:06:22.011, 2542 MHz, 13801 MHz, 68.90 W, 33, 0 %, 2663 MiB
2026/08/03 02:06:27.012, 2542 MHz, 13801 MHz, 70.85 W, 33, 0 %, 2663 MiB
2026/08/03 02:06:32.012, 2572 MHz, 13801 MHz, 73.42 W, 33, 0 %, 2279 MiB
2026/08/03 02:06:37.013, 2542 MHz, 13801 MHz, 69.80 W, 33, 0 %, 2663 MiB
2026/08/03 02:06:42.013, 2542 MHz, 13801 MHz, 72.04 W, 33, 0 %, 2663 MiB
2026/08/03 02:06:47.013, 2542 MHz, 13801 MHz, 69.15 W, 33, 0 %, 2663 MiB
2026/08/03 02:06:52.014, 2572 MHz, 13801 MHz, 74.11 W, 33, 1 %, 2281 MiB
2026/08/03 02:06:57.014, 2602 MHz, 13801 MHz, 73.44 W, 33, 0 %, 1730 MiB
2026/08/03 02:07:02.023, 2572 MHz, 13801 MHz, 75.27 W, 33, 4 %, 2283 MiB
2026/08/03 02:07:07.023, 2542 MHz, 13801 MHz, 73.66 W, 32, 1 %, 1730 MiB
2026/08/03 02:07:12.024, 2565 MHz, 13801 MHz, 73.99 W, 32, 0 %, 2641 MiB
2026/08/03 02:07:17.024, 2550 MHz, 13801 MHz, 70.97 W, 32, 0 %, 2663 MiB
2026/08/03 02:07:22.025, 2542 MHz, 13801 MHz, 71.17 W, 32, 0 %, 2663 MiB
2026/08/03 02:07:27.025, 2542 MHz, 13801 MHz, 71.14 W, 32, 0 %, 2261 MiB
2026/08/03 02:07:32.026, 2550 MHz, 13801 MHz, 74.28 W, 32, 0 %, 2663 MiB
2026/08/03 02:07:37.026, 2550 MHz, 13801 MHz, 70.96 W, 32, 0 %, 2663 MiB
2026/08/03 02:07:42.027, 2542 MHz, 13801 MHz, 71.37 W, 32, 0 %, 2663 MiB
2026/08/03 02:07:47.027, 2565 MHz, 13801 MHz, 71.59 W, 32, 0 %, 2269 MiB
2026/08/03 02:07:52.027, 2542 MHz, 13801 MHz, 75.22 W, 32, 0 %, 2641 MiB
2026/08/03 02:07:57.028, 2565 MHz, 13801 MHz, 72.16 W, 32, 0 %, 2277 MiB
2026/08/03 02:08:02.029, 2550 MHz, 13801 MHz, 74.68 W, 32, 0 %, 2641 MiB
2026/08/03 02:08:07.029, 2572 MHz, 13801 MHz, 72.66 W, 32, 1 %, 2279 MiB
2026/08/03 02:08:12.030, 2542 MHz, 13801 MHz, 71.93 W, 32, 0 %, 2663 MiB
2026/08/03 02:08:17.030, 2542 MHz, 13801 MHz, 70.24 W, 32, 0 %, 2663 MiB
2026/08/03 02:08:22.031, 2550 MHz, 13801 MHz, 71.26 W, 32, 0 %, 2663 MiB
2026/08/03 02:08:27.031, 2565 MHz, 13801 MHz, 74.28 W, 32, 0 %, 2279 MiB
2026/08/03 02:08:32.031, 2542 MHz, 13801 MHz, 70.57 W, 32, 0 %, 2663 MiB
2026/08/03 02:08:37.032, 2542 MHz, 13801 MHz, 72.11 W, 32, 0 %, 2663 MiB
2026/08/03 02:08:42.032, 2595 MHz, 13801 MHz, 71.77 W, 32, 0 %, 2669 MiB
2026/08/03 02:08:47.033, 2572 MHz, 13801 MHz, 73.17 W, 32, 1 %, 2281 MiB
2026/08/03 02:08:52.033, 2542 MHz, 13801 MHz, 72.88 W, 32, 0 %, 1730 MiB
2026/08/03 02:08:57.034, 2595 MHz, 13801 MHz, 74.69 W, 32, 0 %, 2281 MiB
2026/08/03 02:09:02.034, 2542 MHz, 13801 MHz, 71.78 W, 32, 1 %, 2261 MiB
