1785627752.589179804 2415310, /usr/libexec/gnome-remote-desktop-daemon, 635
2418383, /usr/bin/sunshine, 508
2415327, /usr/libexec/xdg-desktop-portal-gnome, 19
2874859, /usr/bin/resources, 52
889515, .venv-qn-gpu/bin/python, 544
1785627752.833024072 2415310, /usr/libexec/gnome-remote-desktop-daemon, 635
2418383, /usr/bin/sunshine, 508
2415327, /usr/libexec/xdg-desktop-portal-gnome, 19
2874859, /usr/bin/resources, 52
889515, .venv-qn-gpu/bin/python, 544
891109, /home/jungdaesuh/code/columbia/simsopt-pr-jax-port-squashed/.venv-qn-gpu/bin/python, 12
1785627753.109315086 2415310, /usr/libexec/gnome-remote-desktop-daemon, 635
2418383, /usr/bin/sunshine, 508
2415327, /usr/libexec/xdg-desktop-portal-gnome, 19
2874859, /usr/bin/resources, 52
889515, .venv-qn-gpu/bin/python, 544
891109, /home/jungdaesuh/code/columbia/simsopt-pr-jax-port-squashed/.venv-qn-gpu/bin/python, 518
1785627753.372451881 2415310, /usr/libexec/gnome-remote-desktop-daemon, 635
2418383, /usr/bin/sunshine, 508
2415327, /usr/libexec/xdg-desktop-portal-gnome, 19
2874859, /usr/bin/resources, 52
889515, .venv-qn-gpu/bin/python, 544
891109, /home/jungdaesuh/code/columbia/simsopt-pr-jax-port-squashed/.venv-qn-gpu/bin/python, 526
1785627753.632274394 2415310, /usr/libexec/gnome-remote-desktop-daemon, 635
2418383, /usr/bin/sunshine, 508
2415327, /usr/libexec/xdg-desktop-portal-gnome, 19
2874859, /usr/bin/resources, 52
889515, .venv-qn-gpu/bin/python, 544
891109, /home/jungdaesuh/code/columbia/simsopt-pr-jax-port-squashed/.venv-qn-gpu/bin/python, 526
1785627753.901548482 2415310, /usr/libexec/gnome-remote-desktop-daemon, 635
2418383, /usr/bin/sunshine, 508
2415327, /usr/libexec/xdg-desktop-portal-gnome, 19
2874859, /usr/bin/resources, 52
889515, .venv-qn-gpu/bin/python, 544
891109, /home/jungdaesuh/code/columbia/simsopt-pr-jax-port-squashed/.venv-qn-gpu/bin/python, 526
1785627754.197983611 2415310, /usr/libexec/gnome-remote-desktop-daemon, 635
2418383, /usr/bin/sunshine, 508
2415327, /usr/libexec/xdg-desktop-portal-gnome, 19
2874859, /usr/bin/resources, 52
889515, .venv-qn-gpu/bin/python, 544
891109, /home/jungdaesuh/code/columbia/simsopt-pr-jax-port-squashed/.venv-qn-gpu/bin/python, 526
1785627754.451180987 2415310, /usr/libexec/gnome-remote-desktop-daemon, 635
2418383, /usr/bin/sunshine, 508
2415327, /usr/libexec/xdg-desktop-portal-gnome, 19
2874859, /usr/bin/resources, 52
889515, .venv-qn-gpu/bin/python, 544
891109, /home/jungdaesuh/code/columbia/simsopt-pr-jax-port-squashed/.venv-qn-gpu/bin/python, 526
1785627754.708079255 2415310, /usr/libexec/gnome-remote-desktop-daemon, 635
2418383, /usr/bin/sunshine, 508
2415327, /usr/libexec/xdg-desktop-portal-gnome, 19
2874859, /usr/bin/resources, 52
889515, .venv-qn-gpu/bin/python, 544
891109, /home/jungdaesuh/code/columbia/simsopt-pr-jax-port-squashed/.venv-qn-gpu/bin/python, 534
1785627754.960899373 2415310, /usr/libexec/gnome-remote-desktop-daemon, 635
2418383, /usr/bin/sunshine, 508
2415327, /usr/libexec/xdg-desktop-portal-gnome, 19
2874859, /usr/bin/resources, 52
889515, .venv-qn-gpu/bin/python, 544
891109, /home/jungdaesuh/code/columbia/simsopt-pr-jax-port-squashed/.venv-qn-gpu/bin/python, 534
1785627755.209839121 2415310, /usr/libexec/gnome-remote-desktop-daemon, 635
2418383, /usr/bin/sunshine, 508
2415327, /usr/libexec/xdg-desktop-portal-gnome, 19
2874859, /usr/bin/resources, 52
